"file","module","object_type","object_name"
"117__rls_views.sql","seguridad","view","public.vista_registro_compras"
"117__rls_views.sql","seguridad","view","public.vw_cpe_documentos_auditoria"
"118_atomic_order_creation.sql","core","function","crear_pedido_completo"
"119__cash_operations_complete.sql","finanzas","table","movimientos_caja"
"119__cash_operations_complete.sql","finanzas","table","retiros_caja"
"119__cash_operations_complete.sql","finanzas","table","cambios_turno"
"119__cash_operations_complete.sql","finanzas","table","configuracion_caja"
"119__cash_operations_complete.sql","finanzas","table","caja_audit_log"
"119__cash_operations_complete.sql","finanzas","view","vw_sesiones_caja_resumen"
"119__cash_operations_complete.sql","finanzas","function","prevent_cash_movement_modification"
"119__cash_operations_complete.sql","finanzas","function","registrar_movimiento_caja"
